Cluster           [Fe/H]  e_[Fe/H]
King_5            -0.091  0.074
King_6             0.147  0.070
King_7            -0.039  0.011
King_8             0.074  0.155
Koposov_10        -0.211  0.047
Koposov_12         0.012  0.065
Koposov_36         0.031  0.404
Koposov_43        -0.309  0.159
Koposov_53        -0.280  0.130
Kronberger_1      -0.177  0.071
Kronberger_25      0.229  0.118
Kronberger_4       0.278  0.124
Kronberger_52      0.076  0.174
Kronberger_69     -0.111  0.222
Kronberger_79      0.061  0.084
Kronberger_84     -0.272  0.319
LP_0140            0.145  0.049
LP_0201           -0.178  0.052
LP_0204           -0.111  0.068
LP_0265            0.164  0.064
LP_0282            0.366  0.146
LP_0288            0.140  0.091
LP_0313            0.131  0.099
LP_0341           -0.100  0.088
LP_0344           -0.045  0.054
LP_0368           -0.267  0.038
LP_0373           -0.225  0.066
LP_0434            0.019  0.064
LP_0436            0.169  0.118
LP_0458            0.148  0.161
LP_0503           -0.074  0.115
LP_0506           -0.065  0.102
LP_0613           -0.234  0.053
LP_0665           -0.203  0.091
LP_0672           -0.177  0.140
LP_0676           -0.039  0.079
LP_0733           -0.112  0.084
LP_0780            0.011  0.083
LP_0782            0.001  0.072
LP_0866            0.094  0.066
LP_0921           -0.195  0.058
LP_0939           -0.233  0.092
LP_0942           -0.196  0.081
LP_0967           -0.134  0.103
LP_1036            0.155  0.164
LP_1049            0.191  0.238
LP_1086            0.225  0.241
LP_1103            0.045  0.173
LP_1115            0.351  0.142
LP_1120            0.031  0.134
LP_1142            0.224  0.140
LP_1160            0.048  0.160
LP_1174            0.049  0.170
LP_1175            0.165  0.106
LP_1199            0.378  0.133
LP_1200            0.343  0.095
LP_1209            0.104  0.130
LP_1211            0.377  0.141
LP_1218            0.259  0.170
LP_1221            0.181  0.088
LP_1235            0.068  0.040
LP_1241            0.225  0.129
LP_1281            0.048  0.228
LP_1306            0.012  0.163
LP_1329            0.168  0.146
LP_1332            0.051  0.116
LP_1342           -0.089  0.211
LP_1352           -0.217  0.103
LP_1355           -0.108  0.098
LP_1367           -0.102  0.134
LP_1370           -0.113  0.076
LP_1372           -0.216  0.129
LP_1374           -0.121  0.372
LP_1381           -0.008  0.098
LP_1388           -0.189  0.135
LP_1390           -0.173  0.128
LP_1392           -0.165  0.105
LP_1393           -0.177  0.087
LP_1394           -0.107  0.049
LP_1398           -0.108  0.061
LP_1399           -0.119  0.056
LP_1401           -0.176  0.070
LP_1402           -0.128  0.067
LP_1406           -0.124  0.107
LP_1407           -0.027  0.246
LP_1408           -0.187  0.228
LP_1414           -0.101  0.093
LP_1420           -0.073  0.066
LP_1422            0.029  0.081
LP_1429           -0.042  0.088
LP_1431           -0.084  0.085
LP_1437           -0.136  0.082
LP_1441            0.082  0.194
LP_145             0.073  0.064
LP_1454           -0.089  0.135
LP_1455           -0.057  0.072
LP_1457           -0.165  0.111
LP_1480            0.099  0.196
LP_1482           -0.089  0.174
LP_1487           -0.004  0.112
LP_1490            0.061  0.073
LP_1540           -0.090  0.077
LP_1578            0.192  0.133
LP_1582            0.219  0.152
LP_1595            0.082  0.130
LP_1599            0.092  0.182
LP_1600            0.252  0.161
LP_1614            0.165  0.171
LP_1620            0.234  0.163
LP_1625            0.333  0.149
LP_1641            0.152  0.093
LP_1692            0.269  0.139
LP_1725            0.118  0.158
LP_1728            0.152  0.202
LP_1743           -0.100  0.195
LP_1759            0.059  0.153
LP_1764            0.035  0.164
LP_1768           -0.053  0.092
LP_1771            0.142  0.219
LP_1775            0.144  0.057
LP_1777           -0.081  0.179
LP_1780            0.019  0.161
LP_1785            0.040  0.158
LP_1787           -0.100  0.038
LP_1789           -0.035  0.110
LP_1798           -0.153  0.082
LP_1800            0.093  0.141
LP_1807           -0.089  0.107
LP_1809            0.092  0.116
LP_1816           -0.091  0.147
LP_1817            0.044  0.211
LP_1821           -0.063  0.108
LP_1822           -0.064  0.139
LP_1825           -0.062  0.086
LP_1831            0.133  0.153
LP_1836            0.074  0.103
LP_1843            0.144  0.207
LP_1864           -0.101  0.090
LP_1888            0.150  0.090
LP_1925           -0.176  0.222
LP_1937           -0.058  0.100
LP_1956           -0.072  0.189
LP_1957           -0.093  0.190
LP_1960           -0.024  0.093
LP_1968           -0.136  0.110
LP_1970           -0.100  0.059
LP_1975           -0.257  0.111
LP_1977           -0.105  0.117
LP_1979           -0.214  0.139
LP_198            -0.176  0.099
LP_1980           -0.118  0.151
LP_1981           -0.186  0.130
LP_1982           -0.163  0.122
LP_1984            0.003  0.186
LP_1985           -0.213  0.224
LP_1987           -0.157  0.131
LP_1989           -0.142  0.093
LP_1992            0.074  0.116
LP_1994           -0.027  0.188
LP_2000            0.255  0.107
LP_2027           -0.174  0.128
LP_2028           -0.193  0.275
LP_2036           -0.205  0.100
LP_2042           -0.373  0.301
LP_2047           -0.247  0.060
LP_2048           -0.305  0.093
LP_2059            0.095  0.056
LP_2068            0.138  0.070
LP_2094            0.121  0.072
LP_2106           -0.067  0.142
LP_2113            0.135  0.169
LP_2123            0.086  0.121
LP_2172            0.137  0.197
LP_2198            0.094  0.094
LP_2210            0.056  0.064
LP_2219           -0.005  0.114
LP_2220           -0.075  0.114
LP_2221           -0.059  0.122
LP_2238            0.060  0.098
LP_2249           -0.031  0.118
LP_2253            0.117  0.193
LP_2287            0.087  0.195
LP_2312            0.074  0.198
LP_2339            0.206  0.107
LP_321             0.047  0.099
LP_5               0.004  0.108
LP_589            -0.185  0.041
LP_597             0.075  0.141
LP_658            -0.119  0.074
LP_866             0.100  0.107
LP_876            -0.053  0.149
LP_930            -0.140  0.086
LP_947            -0.056  0.138
Loden_1194         0.037  0.114
Loden_372          0.113  0.109
Loden_46          -0.038  0.215
Lynga_1            0.207  0.130
Lynga_2            0.046  0.102
Lynga_3            0.067  0.124
Lynga_4            0.185  0.343
Lynga_5            0.372  0.354
Lynga_9            0.519  0.235
Majaess_65         0.006  0.057
Mamajek_1         -0.099  0.117
Mamajek_4          0.049  0.075
Markarian_38       0.061  0.065
Markarian_50      -0.054  0.104
Mayer_1            0.012  0.195
Melotte_101        0.066  0.072
Melotte_105       -0.100  0.014
Melotte_111       -0.060  0.038
Melotte_20         0.158  0.070
Melotte_22         0.032  0.029
Melotte_25         0.149  0.041
Melotte_66        -0.325  0.024
Melotte_71        -0.154  0.069
Melotte_72        -0.140  0.056
Moffat_1           0.500  0.288
NGC_1027           0.036  0.080
NGC_103           -0.138  0.089
NGC_1039          -0.006  0.042
NGC_1193          -0.257  0.054
NGC_1220          -0.140  0.093
NGC_1245          -0.001  0.036
NGC_129            0.248  0.143
NGC_133           -0.133  0.064
NGC_1342          -0.115  0.030
NGC_1348          -0.197  0.113
NGC_136           -0.216  0.014
NGC_1444           0.096  0.115
NGC_146           -0.051  0.126
NGC_1496          -0.052  0.211
NGC_1502          -0.007  0.152
NGC_1513           0.034  0.117
NGC_1528           0.117  0.102
NGC_1545           0.075  0.168
